template,suggestedKey
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/PilotTone/Freq/Value","OUTPUT_CHANNEL_PILOTTONE_FREQ_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/PilotTone/High/Value","OUTPUT_CHANNEL_PILOTTONE_HIGH_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/PilotTone/Low/Value","OUTPUT_CHANNEL_PILOTTONE_LOW_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/PilotToneGenerator/Amplitude/Value","OUTPUT_CHANNEL_PILOTTONEGENERATOR_AMPLITUDE_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/PilotToneGenerator/Enable/Value","OUTPUT_CHANNEL_PILOTTONEGENERATOR_ENABLE_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/PilotToneGenerator/Freq/Value","OUTPUT_CHANNEL_PILOTTONEGENERATOR_FREQ_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/TruePowerLimiter/AttackTime/Value","OUTPUT_CHANNEL_TRUEPOWERLIMITER_ATTACKTIME_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/TruePowerLimiter/Enable","OUTPUT_CHANNEL_TRUEPOWERLIMITER_ENABLE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/TruePowerLimiter/Gain/Value","OUTPUT_CHANNEL_TRUEPOWERLIMITER_GAIN_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/TruePowerLimiter/HoldTime/Value","OUTPUT_CHANNEL_TRUEPOWERLIMITER_HOLDTIME_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/TruePowerLimiter/ReleaseTime/Value","OUTPUT_CHANNEL_TRUEPOWERLIMITER_RELEASETIME_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/TruePowerLimiter/Threshold/Value","OUTPUT_CHANNEL_TRUEPOWERLIMITER_THRESHOLD_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/VoltageLimiterRMS/AttackTime/Value","OUTPUT_CHANNEL_VOLTAGELIMITERRMS_ATTACKTIME_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/VoltageLimiterRMS/Enable","OUTPUT_CHANNEL_VOLTAGELIMITERRMS_ENABLE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/VoltageLimiterRMS/Gain/Value","OUTPUT_CHANNEL_VOLTAGELIMITERRMS_GAIN_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/VoltageLimiterRMS/HoldTime/Value","OUTPUT_CHANNEL_VOLTAGELIMITERRMS_HOLDTIME_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/VoltageLimiterRMS/IIR/IIR-0/Enable","OUTPUT_CHANNEL_VOLTAGELIMITERRMS_IIR_IIR-0_ENABLE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/VoltageLimiterRMS/IIR/IIR-0/Fc/Value","OUTPUT_CHANNEL_VOLTAGELIMITERRMS_IIR_IIR-0_FC_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/VoltageLimiterRMS/IIR/IIR-0/Gain/Value","OUTPUT_CHANNEL_VOLTAGELIMITERRMS_IIR_IIR-0_GAIN_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/VoltageLimiterRMS/IIR/IIR-0/Q/Value","OUTPUT_CHANNEL_VOLTAGELIMITERRMS_IIR_IIR-0_Q_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/VoltageLimiterRMS/IIR/IIR-0/Slope/Value","OUTPUT_CHANNEL_VOLTAGELIMITERRMS_IIR_IIR-0_SLOPE_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/VoltageLimiterRMS/IIR/IIR-0/Type/Value","OUTPUT_CHANNEL_VOLTAGELIMITERRMS_IIR_IIR-0_TYPE_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/VoltageLimiterRMS/ReleaseTime/Value","OUTPUT_CHANNEL_VOLTAGELIMITERRMS_RELEASETIME_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/VoltageLimiterRMS/SoftKnee/Enable","OUTPUT_CHANNEL_VOLTAGELIMITERRMS_SOFTKNEE_ENABLE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/VoltageLimiterRMS/SoftKnee/Threshold/Value","OUTPUT_CHANNEL_VOLTAGELIMITERRMS_SOFTKNEE_THRESHOLD_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/VoltageLimiterRMS/Threshold/Value","OUTPUT_CHANNEL_VOLTAGELIMITERRMS_THRESHOLD_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/XOver/XOver-0/Enable","OUTPUT_CHANNEL_XOVER_XOVER-0_ENABLE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/XOver/XOver-0/Fc/Value","OUTPUT_CHANNEL_XOVER_XOVER-0_FC_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/XOver/XOver-0/Slope/Value","OUTPUT_CHANNEL_XOVER_XOVER-0_SLOPE_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/XOver/XOver-0/Type/Value","OUTPUT_CHANNEL_XOVER_XOVER-0_TYPE_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/DynamicEq/DYNAMICEQ-1/AttackTime/Value","OUTPUT_CHANNEL_DYNAMICEQ_DYNAMICEQ-1_ATTACKTIME_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/DynamicEq/DYNAMICEQ-1/Enable","OUTPUT_CHANNEL_DYNAMICEQ_DYNAMICEQ-1_ENABLE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/DynamicEq/DYNAMICEQ-1/Fc/Value","OUTPUT_CHANNEL_DYNAMICEQ_DYNAMICEQ-1_FC_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/DynamicEq/DYNAMICEQ-1/FilterType/Value","OUTPUT_CHANNEL_DYNAMICEQ_DYNAMICEQ-1_FILTERTYPE_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/DynamicEq/DYNAMICEQ-1/LimiterType/Value","OUTPUT_CHANNEL_DYNAMICEQ_DYNAMICEQ-1_LIMITERTYPE_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/DynamicEq/DYNAMICEQ-1/MinGain/Value","OUTPUT_CHANNEL_DYNAMICEQ_DYNAMICEQ-1_MINGAIN_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/DynamicEq/DYNAMICEQ-1/Position/Value","OUTPUT_CHANNEL_DYNAMICEQ_DYNAMICEQ-1_POSITION_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/DynamicEq/DYNAMICEQ-1/Q/Value","OUTPUT_CHANNEL_DYNAMICEQ_DYNAMICEQ-1_Q_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/DynamicEq/DYNAMICEQ-1/Ratio/Value","OUTPUT_CHANNEL_DYNAMICEQ_DYNAMICEQ-1_RATIO_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/DynamicEq/DYNAMICEQ-1/ReleaseTime/Value","OUTPUT_CHANNEL_DYNAMICEQ_DYNAMICEQ-1_RELEASETIME_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/DynamicEq/DYNAMICEQ-1/Subposition/Value","OUTPUT_CHANNEL_DYNAMICEQ_DYNAMICEQ-1_SUBPOSITION_VALUE"
"/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/DynamicEq/DYNAMICEQ-1/Threshold/Value","OUTPUT_CHANNEL_DYNAMICEQ_DYNAMICEQ-1_THRESHOLD_VALUE"
